Rank,Agent - Model,Idx,Time_min,Idx2_Time_hours,Cost_USD,agent,llm_match,match_status,agentic_idx,agentic_tps,agentic_ttft_ms,agentic_cost_per_task,agentic_time_sec,idx_per_cost,idx_per_second,combined_efficiency
1,Codex - GPT-5.6 Sol (low),54,3.7,466,0,Codex,GPT-5.6 Sol (low),EXACT,39.9962084765178,52.1497562133765,3.12823791449995,0.51698776367745,89.69877116194293,77.36393641508222,0.44589472027780963,34.49617078739334
2,Codex - GPT-5.6 Sol (medium),61,5.2,426,0,Codex,GPT-5.6 Sol (medium),EXACT,44.5478270332188,55.3411829389335,5.53200656299987,0.8627762778733945,148.77996489532595,51.63311529962561,0.29942087339891765,15.460032479320915
3,Codex - GPT-5.6 Sol (high),64,6.3,390,0,Codex,GPT-5.6 Sol (high),EXACT,48.5313974799542,57.5127060538254,11.7157813439999,1.1760672603226836,223.07990425094462,41.265834971580105,0.21755163309269127,8.977449789000742
4,Codex - GPT-5.6 Sol (xhigh),65,7.4,344,0,Codex,GPT-5.6 Sol (xhigh),EXACT,51.7983493699885,61.0574099850528,57.8288346635002,1.8298002641747635,291.893097529204,28.30819865104209,0.17745657505589374,5.0234759786158
5,Codex - GPT-5.6 Sol (none),43,3.4,329,1.3982889177050872,Codex,GPT-5.6 Sol (none),BASE,34.8531580756014,49.5318712874381,0.998447138500123,0.433662316873328,72.49774868538631,80.36934896001569,0.4807481433230616,38.637415292610775
6,Codex - GPT-5.6 Terra (medium),48,4.3,321,0.9012260285565961,Codex,GPT-5.6 Terra (medium),EXACT,37.037147766323,121.124702273024,1.44648944250002,0.39689588282755384,48.90434344276562,93.31703695806581,0.7573386157339748,70.67259559421773
7,Codex - GPT-5.6 Luna (medium),42,3.4,320,0.47389570332294917,Codex,GPT-5.6 Luna (medium),EXACT,30.9875773195876,162.4574229884,2.59110489550011,0.07850559484720472,29.013805133776252,394.7180755702655,1.0680287255225822,421.57024319203697
8,Codex - GPT-5.6 Terra (high),56,6.2,302,1.5897404480789192,Codex,GPT-5.6 Terra (high),EXACT,41.3273470790378,120.349192681279,2.45011724250003,0.8028045958552845,104.87711113668642,51.47871261873988,0.3940549718725169,20.285442653010925
9,Codex - GPT-5.6 Terra (low),37,2.8,291,0.4843241962616821,Codex,GPT-5.6 Terra (low),EXACT,30.604824742268,119.513071213158,1.32528797599997,0.24588556683815638,27.934455683288746,124.46775602088232,1.0955940967404192,136.3661387310054
10,Codex - GPT-5.6 Terra (xhigh),57,6.9,284,1.8951321370716503,Codex,GPT-5.6 Terra (xhigh),EXACT,44.7046323024055,119.210326698262,13.2641597384999,1.164152717030357,149.8100738731557,38.40100327768231,0.29840871943135777,11.459194212972552
11,Codex - GPT-5.6 Luna (high),51,5.7,281,0.9586630484942884,Codex,GPT-5.6 Luna (high),EXACT,40.0720137457045,160.815136107629,8.33198542799994,0.17437473223919606,66.01282701924585,229.80401593240177,0.6070337471537407,139.4987929024238
12,Codex - GPT-5.6 Terra (max),62,8.4,278,2.7564140134994792,Codex,GPT-5.6 Terra (max),EXACT,47.3835257731959,132.005204578831,144.900535381,1.9031294970257302,193.18227243379815,24.897688700242597,0.24527885077774833,6.1068764714176345
13,Codex - GPT-5.5 (medium),54,6.4,277,2.7545190841121476,Codex,GPT-5.5 (medium),EXACT,37.7910652920962,63.0561000346145,9.46076797299997,1.0075227328285887,114.09103115068,37.50889588962321,0.33123607448323916,12.4242994326793
14,Codex - GPT-5.6 Luna (xhigh),55,6.6,272,1.2563853698857719,Codex,GPT-5.6 Luna (xhigh),EXACT,42.9209656357388,169.355331220377,42.810355472,0.2634597678588853,90.77632253906836,162.91278924502882,0.47282115462725927,77.02861311438187
15,Codex - GPT-5.6 Sol (max),67,10.2,261,7.0835100321910645,Codex,GPT-5.6 Sol (max),EXACT,54.0035635738832,63.3474955919067,151.0764305235,2.5548516707888624,387.1696137178706,21.137651234839986,0.13948295956209888,2.9483421524269358
16,Codex - GPT-5.6 Luna (max),59,8.0,258,1.566956997507788,Codex,GPT-5.6 Luna (max),EXACT,45.5974982817869,172.528537550042,126.135927757,0.3827606011884336,124.35045221037649,119.12798271350604,0.3666854239069827,43.682494840485674
17,Codex - GPT-5.5 (xhigh),61,10.1,225,5.069575952232609,Codex,GPT-5.5 (xhigh),EXACT,44.8710687285223,70.3709488099967,93.1996770645,2.200731159770706,227.45243652731398,20.38916408726517,0.19727671162200933,4.02230724385724
18,Codex - GPT-5.6 Luna (low),25,1.9,196,0.2085558115264794,Codex,GPT-5.6 Luna (low),EXACT,25.4012542955326,158.991107905015,1.79443725300001,0.05012870843041535,18.617532643942965,506.72070138795976,1.364372754506578,691.3559191181959
19,Cursor CLI - GPT-5.5 (medium),46,6.6,192,2.0149947633091023,Cursor CLI,GPT-5.5 (medium),EXACT,37.7910652920962,63.0561000346145,9.46076797299997,1.0075227328285887,114.09103115068,37.50889588962321,0.33123607448323916,12.4242994326793
20,Codex - GPT-5.6 Terra (none),24,1.8,188,0.3699857113187957,Codex,GPT-5.6 Terra (none),BASE,29.3340206185567,115.823302331868,0.734267442999964,0.2766320803426582,28.15425704199916,106.03983667484003,1.0419035591952446,110.48328324799826
21,Claude Code - Opus 4.6 (medium),46,8.0,162,1.2777181349358966,Claude Code,Opus 4.6 (medium),MISS,,,,,,,,
22,Claude Code - Opus 4.7 (medium),40,6.3,155,1.6798828591381119,Claude Code,Opus 4.7 (medium),MISS,,,,,,,,
23,Grok Build - Grok 4.5,64,16.5,151,2.594053333333331,Grok Build,Grok 4.5,BASE,45.6901065292096,68.3605909325138,8.90594352800003,0.8464943482960315,265.07396326248676,53.97567818519102,0.1723673874524049,9.303646634753141
24,Claude Code - Opus 4.8 (medium),54,12.4,139,3.263124304517135,Claude Code,Opus 4.8 (medium),MISS,,,,,,,,
25,Opencode - Muse Spark,54,12.6,137,1.428240683805814,Opencode,Muse Spark,EXACT,28.6868762886598,,,,,,,
26,Cursor CLI - Composer 2.5 Fast,38,6.8,129,0.5493899408099685,Cursor CLI,Composer 2.5 Fast,MISS,,,,,,,,
27,Codex - GPT-5.4 (medium),39,7.1,129,2.4151032730654785,Codex,GPT-5.4 (medium),BASE,41.0770927835052,117.208746458578,143.116218972,,281.41871441830494,,0.14596432532360873,
28,Opencode - Opus 4.7 (medium),50,12.2,123,2.9312448589044684,Opencode,Opus 4.7 (medium),MISS,,,,,,,,
29,Claude Code - Fable 5,66,23.4,111,11.710527040238846,Claude Code,Fable 5,MISS,,,,,,,,
30,Cursor CLI - GPT-5.4 (medium),37,8.1,100,1.5458576141690654,Cursor CLI,GPT-5.4 (medium),BASE,41.0770927835052,117.208746458578,143.116218972,,281.41871441830494,,0.14596432532360873,
31,Codex - GPT-5.6 Luna (none),20,2.5,100,0.35196185919003126,Codex,GPT-5.6 Luna (none),BASE,22.0113883161512,162.660156906791,0.700153592499988,0.0622779416739587,14.915610034692333,353.4379545070159,1.4757283319257304,521.5784030438806
32,Claude Code - Opus 4.7 (max),50,15.7,97,5.632379174870193,Claude Code,Opus 4.7 (max),MISS,,,,,,,,
33,Claude Code - Opus 4.8 (max),61,23.1,95,7.697531218302191,Claude Code,Opus 4.8 (max),MISS,,,,,,,,
